# Title: October 2023 - September 2024 Contiguous U.S. County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
IL-199,Williamson County,Illinois,42.79,-0.8,57,43.59
IL-201,Winnebago County,Illinois,41.63,7.84,117,33.79
IL-203,Woodford County,Illinois,35.09,-0.36,63,35.45
IN-001,Adams County,Indiana,36.44,0.42,53,36.02
IN-003,Allen County,Indiana,36.09,0.63,61,35.46
IN-005,Bartholomew County,Indiana,39.3,-2.05,43,41.35
IN-007,Benton County,Indiana,41.1,3.72,93,37.38
IN-009,Blackford County,Indiana,35.92,-1.64,41,37.56
IN-011,Boone County,Indiana,36.52,-2.3,38,38.82
IN-013,Brown County,Indiana,40.92,-1.02,48,41.94
IN-015,Carroll County,Indiana,40.41,2.58,77,37.83
IN-017,Cass County,Indiana,41.35,3.51,92,37.84
IN-019,Clark County,Indiana,46.14,2.86,83,43.28
IN-021,Clay County,Indiana,38.15,-2.51,37,40.66
IN-023,Clinton County,Indiana,39.05,0.53,57,38.52
IN-025,Crawford County,Indiana,46.35,0.97,67,45.39
IN-027,Daviess County,Indiana,40.23,-2.92,38,43.15
IN-029,Dearborn County,Indiana,42.38,1.26,67,41.12
IN-031,Decatur County,Indiana,42.57,0.92,59,41.65
IN-033,DeKalb County,Indiana,35.48,0.42,63,35.06
IN-035,Delaware County,Indiana,35.62,-2.97,37,38.59
IN-037,Dubois County,Indiana,43.09,-1.25,45,44.34
IN-039,Elkhart County,Indiana,41.87,6.62,115,35.25
IN-041,Fayette County,Indiana,42.69,2.52,76,40.17
IN-043,Floyd County,Indiana,47.02,3.43,81,43.59
IN-045,Fountain County,Indiana,38.59,0.54,61,38.05
IN-047,Franklin County,Indiana,41.82,1.18,70,40.64
IN-049,Fulton County,Indiana,41.8,4.2,97,37.6
IN-051,Gibson County,Indiana,40.12,-3.21,36,43.33
IN-053,Grant County,Indiana,39.85,2.09,72,37.76
IN-055,Greene County,Indiana,38.93,-3.84,25,42.77
IN-057,Hamilton County,Indiana,39.25,1.11,65,38.14
IN-059,Hancock County,Indiana,40.45,1.07,64,39.38
IN-061,Harrison County,Indiana,47.26,2.68,84,44.58
IN-063,Hendricks County,Indiana,38.29,-1.26,46,39.55
IN-065,Henry County,Indiana,38.13,-1.66,44,39.79
IN-067,Howard County,Indiana,42.07,4.32,96,37.75
IN-069,Huntington County,Indiana,39.35,2.14,73,37.21
IN-071,Jackson County,Indiana,39.97,-2.48,42,42.45
IN-073,Jasper County,Indiana,42.74,6.23,113,36.51
IN-075,Jay County,Indiana,36.34,-1.4,50,37.74
IN-077,Jefferson County,Indiana,42.86,-0.47,50,43.33
IN-079,Jennings County,Indiana,40.71,-2.01,42,42.72
IN-081,Johnson County,Indiana,42.21,1.47,76,40.74
IN-083,Knox County,Indiana,42.02,-0.73,54,42.75
IN-085,Kosciusko County,Indiana,39.99,3.64,100,36.35
IN-087,LaGrange County,Indiana,39.08,4.08,102,35
IN-089,Lake County,Indiana,43.21,7.19,119,36.02
IN-091,LaPorte County,Indiana,43.83,6.71,118,37.12
IN-093,Lawrence County,Indiana,43.63,-0.41,60,44.04
IN-095,Madison County,Indiana,38.97,0.45,56,38.52
IN-097,Marion County,Indiana,39.95,0.76,65,39.19
IN-099,Marshall County,Indiana,41.6,4.46,101,37.14
IN-101,Martin County,Indiana,42.42,-1.59,45,44.01
IN-103,Miami County,Indiana,40.76,2.98,85,37.78
IN-105,Monroe County,Indiana,41.18,-1.72,44,42.9
IN-107,Montgomery County,Indiana,37.06,-1.7,44,38.76
IN-109,Morgan County,Indiana,42.51,1.82,74,40.69
IN-111,Newton County,Indiana,44.89,8.06,120,36.83
IN-113,Noble County,Indiana,37.07,1.45,80,35.62
IN-115,Ohio County,Indiana,43.39,1.79,66,41.6
IN-117,Orange County,Indiana,44.48,-0.5,59,44.98
IN-119,Owen County,Indiana,40.31,-1.69,41,42
IN-121,Parke County,Indiana,35.07,-3.83,30,38.9
IN-123,Perry County,Indiana,48.23,2.74,83,45.49
IN-125,Pike County,Indiana,40.47,-3.2,37,43.67
IN-127,Porter County,Indiana,43.67,7.17,120,36.5
IN-129,Posey County,Indiana,40.5,-3.48,40,43.98
IN-131,Pulaski County,Indiana,44.03,6.93,116,37.1
IN-133,Putnam County,Indiana,37.89,-2.6,34,40.49
IN-135,Randolph County,Indiana,37.85,-1.01,52,38.86
IN-137,Ripley County,Indiana,42.38,-0.05,55,42.43
IN-139,Rush County,Indiana,42.87,2.38,73,40.49
IN-141,St. Joseph County,Indiana,42.62,5.43,106,37.19
IN-143,Scott County,Indiana,42.15,-0.5,51,42.65
IN-145,Shelby County,Indiana,41.66,1,66,40.66
IN-147,Spencer County,Indiana,44.99,0.27,68,44.72
IN-149,Starke County,Indiana,44.42,7.14,117,37.28
IN-151,Steuben County,Indiana,35.88,0.84,68,35.04
IN-153,Sullivan County,Indiana,37.59,-3.42,29,41.01
IN-155,Switzerland County,Indiana,43.39,1.06,62,42.33
IN-157,Tippecanoe County,Indiana,38.5,0.47,65,38.03
IN-159,Tipton County,Indiana,41.3,3.68,86,37.62
IN-161,Union County,Indiana,44.03,3.77,88,40.27
IN-163,Vanderburgh County,Indiana,41.52,-2.44,48,43.96
IN-165,Vermillion County,Indiana,36.86,-1.1,48,37.96
IN-167,Vigo County,Indiana,36.48,-3.16,31,39.64
IN-169,Wabash County,Indiana,40.54,3.02,85,37.52
IN-171,Warren County,Indiana,40.83,3.28,91,37.55
IN-173,Warrick County,Indiana,41.56,-2.3,47,43.86
IN-175,Washington County,Indiana,44.71,0.5,69,44.21
IN-177,Wayne County,Indiana,42.77,3.19,81,39.58
IN-179,Wells County,Indiana,37.12,0.36,58,36.76
IN-181,White County,Indiana,40.26,3.41,86,36.85
IN-183,Whitley County,Indiana,36.53,0.03,62,36.5
IA-001,Adair County,Iowa,33.37,0.7,74,32.67
IA-003,Adams County,Iowa,32.83,-0.38,73,33.21
IA-005,Allamakee County,Iowa,35.99,3.16,88,32.83
IA-007,Appanoose County,Iowa,37.64,2.44,83,35.2
IA-009,Audubon County,Iowa,32.33,0.64,68,31.69
IA-011,Benton County,Iowa,34.74,1.53,76,33.21
IA-013,Black Hawk County,Iowa,37.47,4.03,98,33.44
IA-015,Boone County,Iowa,31.65,0.23,65,31.42
IA-017,Bremer County,Iowa,37.72,4.5,102,33.22
IA-019,Buchanan County,Iowa,37.73,4.55,97,33.18
IA-021,Buena Vista County,Iowa,32.52,3.75,91,28.77
IA-023,Butler County,Iowa,38.08,5.28,108,32.8
IA-025,Calhoun County,Iowa,30.14,-0.71,64,30.85
IA-027,Carroll County,Iowa,30.2,-0.9,58,31.1
IA-029,Cass County,Iowa,31.09,-0.23,65,31.32
IA-031,Cedar County,Iowa,41.53,6.37,111,35.16
IA-033,Cerro Gordo County,Iowa,36.9,5.15,104,31.75
IA-035,Cherokee County,Iowa,38.02,9.86,122,28.16
IA-037,Chickasaw County,Iowa,36.35,3.94,91,32.41
IA-039,Clarke County,Iowa,35.01,1.36,80,33.65
IA-041,Clay County,Iowa,42.54,13.96,125,28.58
IA-043,Clayton County,Iowa,36.85,3.64,97,33.21
IA-045,Clinton County,Iowa,40.18,5.22,104,34.96
IA-047,Crawford County,Iowa,32.02,2.23,77,29.79
IA-049,Dallas County,Iowa,32.66,0.89,69,31.77
IA-051,Davis County,Iowa,38.2,2.96,92,35.24
IA-053,Decatur County,Iowa,34.5,0.27,71,34.23
IA-055,Delaware County,Iowa,38.7,5.37,104,33.33
IA-057,Des Moines County,Iowa,39.51,4.25,98,35.26
IA-059,Dickinson County,Iowa,42.9,14.73,126,28.17
IA-061,Dubuque County,Iowa,38.95,5.55,103,33.4
IA-063,Emmet County,Iowa,41.84,12.49,126,29.35
IA-065,Fayette County,Iowa,36.68,3.35,89,33.33
IA-067,Floyd County,Iowa,36.87,4.75,100,32.12
IA-069,Franklin County,Iowa,37.65,5.8,106,31.85
IA-071,Fremont County,Iowa,26.64,-5.85,21,32.49
IA-073,Greene County,Iowa,30.25,-1.22,54,31.47
IA-075,Grundy County,Iowa,36.96,3.91,97,33.05
IA-077,Guthrie County,Iowa,31.84,0.16,71,31.68
IA-079,Hamilton County,Iowa,34.6,3.67,94,30.93
IA-081,Hancock County,Iowa,39.46,8.17,116,31.29
IA-083,Hardin County,Iowa,37.26,5.32,105,31.94
IA-085,Harrison County,Iowa,31.85,2.54,78,29.31
IA-087,Henry County,Iowa,37.44,2.16,86,35.28
IA-089,Howard County,Iowa,36.68,4.05,95,32.63
IA-091,Humboldt County,Iowa,38.87,8.37,119,30.5
IA-093,Ida County,Iowa,31.93,3.1,86,28.83
IA-095,Iowa County,Iowa,34.23,0.44,75,33.79
IA-097,Jackson County,Iowa,40.87,6.8,110,34.07
IA-099,Jasper County,Iowa,37.04,4.06,93,32.98
IA-101,Jefferson County,Iowa,39.45,4.53,99,34.92
IA-103,Johnson County,Iowa,36.31,2.54,92,33.77
IA-105,Jones County,Iowa,39.54,5.89,108,33.65
IA-107,Keokuk County,Iowa,36.86,2.85,90,34.01
IA-109,Kossuth County,Iowa,44.14,13.94,127,30.2
IA-111,Lee County,Iowa,38.44,2.89,85,35.55
IA-113,Linn County,Iowa,38.38,5.34,104,33.04
IA-115,Louisa County,Iowa,37.18,2.7,88,34.48
IA-117,Lucas County,Iowa,34.4,0.59,69,33.81
IA-119,Lyon County,Iowa,38.65,12.33,124,26.32
IA-121,Madison County,Iowa,35.68,2.82,86,32.86
IA-123,Mahaska County,Iowa,35.97,2.16,86,33.81
IA-125,Marion County,Iowa,35.76,2.24,84,33.52
IA-127,Marshall County,Iowa,36.67,4.14,94,32.53
IA-129,Mills County,Iowa,27.44,-4.31,35,31.75
IA-131,Mitchell County,Iowa,38.51,6.51,112,32
IA-133,Monona County,Iowa,30.75,2.22,84,28.53
IA-135,Monroe County,Iowa,34.26,0.01,68,34.25
IA-137,Montgomery County,Iowa,30.27,-2.27,51,32.54
IA-139,Muscatine County,Iowa,38.48,3.96,99,34.52
IA-141,O&#039;Brien County,Iowa,42.17,14.14,126,28.03
IA-143,Osceola County,Iowa,41.35,13.66,125,27.69
IA-145,Page County,Iowa,31.76,-1.67,57,33.43
IA-147,Palo Alto County,Iowa,41.39,11.79,126,29.6
IA-149,Plymouth County,Iowa,36.13,9,119,27.13
IA-151,Pocahontas County,Iowa,34.49,4.56,96,29.93
IA-153,Polk County,Iowa,34.86,2.91,88,31.95
IA-155,Pottawattamie County,Iowa,30.15,-0.75,64,30.9
IA-157,Poweshiek County,Iowa,36.16,2.14,82,34.02
IA-159,Ringgold County,Iowa,34.08,-0.52,69,34.6
IA-161,Sac County,Iowa,28.74,-0.8,64,29.54
IA-163,Scott County,Iowa,39.27,4.37,99,34.9
IA-165,Shelby County,Iowa,31.75,0.87,73,30.88
IA-167,Sioux County,Iowa,38.28,11.57,125,26.71
IA-169,Story County,Iowa,35.46,3.73,91,31.73
IA-171,Tama County,Iowa,35.8,1.75,77,34.05
IA-173,Taylor County,Iowa,34.58,0.19,71,34.39
IA-175,Union County,Iowa,34.06,0.17,71,33.89
IA-177,Van Buren County,Iowa,38.7,3.61,94,35.09
IA-179,Wapello County,Iowa,36.55,2.06,83,34.49
IA-181,Warren County,Iowa,37.3,4.45,96,32.85
IA-183,Washington County,Iowa,35.91,1.62,85,34.29
IA-185,Wayne County,Iowa,34.92,-0.12,64,35.04
IA-187,Webster County,Iowa,33.95,2.87,89,31.08
IA-189,Winnebago County,Iowa,41.8,10.5,124,31.3
IA-191,Winneshiek County,Iowa,36.46,3.29,91,33.17
IA-193,Woodbury County,Iowa,32.13,4.47,99,27.66
IA-195,Worth County,Iowa,39.88,7.99,118,31.89
IA-197,Wright County,Iowa,36.06,5.08,105,30.98
KS-001,Allen County,Kansas,41.26,2.09,79,39.17
KS-003,Anderson County,Kansas,42.17,3.08,87,39.09
KS-005,Atchison County,Kansas,34.49,-0.62,60,35.11
KS-007,Barber County,Kansas,28.78,2.82,81,25.96
KS-009,Barton County,Kansas,22.63,-2.15,44,24.78
KS-011,Bourbon County,Kansas,42.92,2.63,82,40.29
KS-013,Brown County,Kansas,33.77,-0.61,64,34.38
KS-015,Butler County,Kansas,34.36,1.12,73,33.24
KS-017,Chase County,Kansas,35.99,3.31,83,32.68
KS-019,Chautauqua County,Kansas,36.42,-0.37,63,36.79
KS-021,Cherokee County,Kansas,38.38,-3.23,38,41.61
KS-023,Cheyenne County,Kansas,16.54,-2.24,43,18.78
KS-025,Clark County,Kansas,25.08,2.8,96,22.28
KS-027,Clay County,Kansas,27.23,-2.96,47,30.19
KS-029,Cloud County,Kansas,24.46,-3.59,41,28.05
KS-031,Coffey County,Kansas,39.61,2.68,82,36.93
KS-033,Comanche County,Kansas,26.55,2.49,85,24.06
KS-035,Cowley County,Kansas,35.35,1.67,76,33.68
KS-037,Crawford County,Kansas,39.04,-1.94,49,40.98
KS-039,Decatur County,Kansas,19.31,-1.51,46,20.82
KS-041,Dickinson County,Kansas,31.12,0.43,69,30.69
KS-043,Doniphan County,Kansas,36.72,1.34,76,35.38
KS-045,Douglas County,Kansas,36.47,0.28,65,36.19
KS-047,Edwards County,Kansas,28.88,6.16,107,22.72
KS-049,Elk County,Kansas,37.37,0.97,75,36.4
KS-051,Ellis County,Kansas,22.02,-1.06,55,23.08
KS-053,Ellsworth County,Kansas,24.14,-2.53,49,26.67
KS-055,Finney County,Kansas,19.1,0.38,70,18.72
KS-057,Ford County,Kansas,27.21,5.59,111,21.62
KS-059,Franklin County,Kansas,42.67,5.3,100,37.37
KS-061,Geary County,Kansas,35.97,3.39,92,32.58
KS-063,Gove County,Kansas,18.07,-1.65,48,19.72
KS-065,Graham County,Kansas,18.88,-2.95,45,21.83
KS-067,Grant County,Kansas,16.22,-1.41,43,17.63
KS-069,Gray County,Kansas,22.72,2.69,94,20.03
KS-071,Greeley County,Kansas,17.45,0.58,74,16.87
KS-073,Greenwood County,Kansas,33.63,-1.65,56,35.28
KS-075,Hamilton County,Kansas,16.2,-0.24,60,16.44
KS-077,Harper County,Kansas,28.46,0.11,66,28.35
KS-079,Harvey County,Kansas,29.07,-1.94,57,31.01
KS-081,Haskell County,Kansas,19.2,0.01,65,19.19
KS-083,Hodgeman County,Kansas,24.72,4.12,102,20.6
KS-085,Jackson County,Kansas,34.13,-0.03,66,34.16
KS-087,Jefferson County,Kansas,33.76,-1.63,54,35.39
KS-089,Jewell County,Kansas,23.61,-2.45,43,26.06
KS-091,Johnson County,Kansas,38.18,1.1,73,37.08
KS-093,Kearny County,Kansas,17.14,-0.23,64,17.37
KS-095,Kingman County,Kansas,28.54,0.59,69,27.95
KS-097,Kiowa County,Kansas,29.1,5.47,108,23.63
KS-099,Labette County,Kansas,36.74,-3.39,38,40.13
KS-101,Lane County,Kansas,19.63,-0.02,67,19.65
KS-103,Leavenworth County,Kansas,34.85,-0.87,61,35.72
KS-105,Lincoln County,Kansas,22.59,-3.17,43,25.76
KS-107,Linn County,Kansas,41.62,1.6,78,40.02
KS-109,Logan County,Kansas,17.04,-1.29,51,18.33
KS-111,Lyon County,Kansas,38.68,3.91,90,34.77
KS-113,McPherson County,Kansas,28.37,-1.03,63,29.4
KS-115,Marion County,Kansas,30.82,-0.92,62,31.74
KS-117,Marshall County,Kansas,32.96,1.6,81,31.36
KS-119,Meade County,Kansas,22.87,2.46,92,20.41
KS-121,Miami County,Kansas,40.8,2.03,78,38.77
KS-123,Mitchell County,Kansas,21.56,-3.96,34,25.52
KS-125,Montgomery County,Kansas,34.67,-3.12,42,37.79
KS-127,Morris County,Kansas,34.26,1.18,79,33.08
KS-129,Morton County,Kansas,19.54,2.64,97,16.9
KS-131,Nemaha County,Kansas,32.71,-0.37,68,33.08
KS-133,Neosho County,Kansas,38.49,-1.25,53,39.74
KS-135,Ness County,Kansas,20.63,-0.34,66,20.97
KS-137,Norton County,Kansas,20.86,-1.11,59,21.97
KS-139,Osage County,Kansas,40.93,5.29,95,35.64
KS-141,Osborne County,Kansas,22.13,-1.72,52,23.85
KS-143,Ottawa County,Kansas,23.74,-4.07,40,27.81
KS-145,Pawnee County,Kansas,24.52,1.62,83,22.9
KS-147,Phillips County,Kansas,18.61,-4.52,25,23.13
KS-149,Pottawatomie County,Kansas,35.86,2.89,92,32.97
KS-151,Pratt County,Kansas,26.07,0.81,72,25.26
KS-153,Rawlins County,Kansas,16.35,-3.43,33,19.78
KS-155,Reno County,Kansas,24.99,-2.55,44,27.54
KS-157,Republic County,Kansas,23.31,-4.58,33,27.89
KS-159,Rice County,Kansas,26.62,-0.11,62,26.73
KS-161,Riley County,Kansas,34.52,2.79,93,31.73
KS-163,Rooks County,Kansas,18.04,-4.93,27,22.97
KS-165,Rush County,Kansas,22.1,-0.68,55,22.78
KS-167,Russell County,Kansas,21.8,-2.68,45,24.48
KS-169,Saline County,Kansas,24.46,-4.34,39,28.8
KS-171,Scott County,Kansas,19.32,0.62,76,18.7
KS-173,Sedgwick County,Kansas,31.98,1.37,79,30.61
KS-175,Seward County,Kansas,20.83,1.65,88,19.18
KS-177,Shawnee County,Kansas,32.81,-1.92,56,34.73
KS-179,Sheridan County,Kansas,17.62,-3.15,36,20.77
KS-181,Sherman County,Kansas,14.54,-3.64,27,18.18
KS-183,Smith County,Kansas,23.37,-0.53,62,23.9
KS-185,Stafford County,Kansas,23.59,-1.21,56,24.8
KS-187,Stanton County,Kansas,17.2,0.67,73,16.53
KS-189,Stevens County,Kansas,19.63,1.51,85,18.12
KS-191,Sumner County,Kansas,30.89,-0.19,66,31.08
KS-193,Thomas County,Kansas,15,-4.48,23,19.48
KS-195,Trego County,Kansas,19.63,-1.85,50,21.48
KS-197,Wabaunsee County,Kansas,35.49,1.29,78,34.2
KS-199,Wallace County,Kansas,15.63,-1.94,39,17.57
KS-201,Washington County,Kansas,26.79,-2.84,41,29.63
KS-203,Wichita County,Kansas,18.67,0.9,80,17.77
KS-205,Wilson County,Kansas,37.63,-0.05,67,37.68
KS-207,Woodson County,Kansas,38.37,0.92,71,37.45
KS-209,Wyandotte County,Kansas,35.41,-0.76,67,36.17
KY-001,Adair County,Kentucky,48.03,-2.24,49,50.27
KY-003,Allen County,Kentucky,54.95,4.67,95,50.28
KY-005,Anderson County,Kentucky,48.44,2.66,76,45.78
KY-007,Ballard County,Kentucky,50.21,3.85,91,46.36
KY-009,Barren County,Kentucky,55.02,4.49,90,50.53
KY-011,Bath County,Kentucky,46.97,1.07,72,45.9
KY-013,Bell County,Kentucky,54.3,2.55,77,51.75
KY-015,Boone County,Kentucky,43.66,2.13,72,41.53
KY-017,Bourbon County,Kentucky,45.71,0.82,65,44.89
KY-019,Boyd County,Kentucky,41.25,-0.84,52,42.09
KY-021,Boyle County,Kentucky,49.15,1.2,68,47.95
KY-023,Bracken County,Kentucky,45.82,1.68,71,44.14
KY-025,Breathitt County,Kentucky,43.9,-2.54,46,46.44
KY-027,Breckinridge County,Kentucky,49.81,3,80,46.81
KY-029,Bullitt County,Kentucky,47.22,1.71,72,45.51
KY-031,Butler County,Kentucky,53.09,5,94,48.09
KY-033,Caldwell County,Kentucky,45.91,-1.51,58,47.42
KY-035,Calloway County,Kentucky,48.18,-0.86,63,49.04
KY-037,Campbell County,Kentucky,45.42,3.57,89,41.85
KY-039,Carlisle County,Kentucky,48.78,1.56,74,47.22
KY-041,Carroll County,Kentucky,43.49,0.72,64,42.77
KY-043,Carter County,Kentucky,42.73,0.45,64,42.28
KY-045,Casey County,Kentucky,50.98,1.15,65,49.83
KY-047,Christian County,Kentucky,43.25,-5.05,32,48.3
KY-049,Clark County,Kentucky,47.43,1.54,72,45.89
KY-051,Clay County,Kentucky,50.97,2.03,74,48.94
KY-053,Clinton County,Kentucky,54.02,1.77,75,52.25
KY-055,Crittenden County,Kentucky,46.22,-0.09,66,46.31
KY-057,Cumberland County,Kentucky,51.13,-0.11,67,51.24
KY-059,Daviess County,Kentucky,45.77,0.87,72,44.9
KY-061,Edmonson County,Kentucky,56.61,6.7,98,49.91
KY-063,Elliott County,Kentucky,42.09,-1.26,51,43.35
KY-065,Estill County,Kentucky,47.65,1.5,69,46.15
KY-067,Fayette County,Kentucky,47.68,2.62,76,45.06
KY-069,Fleming County,Kentucky,45.79,0.91,66,44.88
KY-071,Floyd County,Kentucky,41.93,-1.82,48,43.75
KY-073,Franklin County,Kentucky,46.69,2,71,44.69
KY-075,Fulton County,Kentucky,50.43,1.45,78,48.98
KY-077,Gallatin County,Kentucky,43.64,1.25,65,42.39
KY-079,Garrard County,Kentucky,48.04,1.23,68,46.81
KY-081,Grant County,Kentucky,43.95,1.12,69,42.83
KY-083,Graves County,Kentucky,47.31,-1.78,55,49.09
KY-085,Grayson County,Kentucky,53.4,4.32,89,49.08
KY-087,Green County,Kentucky,43.93,-5.16,31,49.09
KY-089,Greenup County,Kentucky,43.1,1.35,83,41.75
KY-091,Hancock County,Kentucky,49,3.2,86,45.81
KY-093,Hardin County,Kentucky,48.96,1.93,75,47.03
KY-095,Harlan County,Kentucky,53.51,1.38,72,52.13
KY-097,Harrison County,Kentucky,43.84,0.25,57,43.59
KY-099,Hart County,Kentucky,50.78,1.39,65,49.39
KY-101,Henderson County,Kentucky,41.96,-2.5,48,44.46
KY-103,Henry County,Kentucky,45.63,1.52,63,44.11
KY-105,Hickman County,Kentucky,49.37,1.05,74,48.32
KY-107,Hopkins County,Kentucky,46.5,0.52,69,45.98
KY-109,Jackson County,Kentucky,49.7,1.33,71,48.37
KY-111,Jefferson County,Kentucky,46.72,2.53,76,44.19
KY-113,Jessamine County,Kentucky,48.2,2.66,77,45.54
KY-115,Johnson County,Kentucky,40.64,-3.2,36,43.84
KY-117,Kenton County,Kentucky,44.72,2.9,82,41.82
KY-119,Knott County,Kentucky,44.35,-1.69,47,46.04
KY-121,Knox County,Kentucky,54.45,4.12,87,50.33
KY-123,Larue County,Kentucky,46.99,-1.15,53,48.14
KY-125,Laurel County,Kentucky,52.64,3.21,88,49.43
KY-127,Lawrence County,Kentucky,41.11,-2.23,42,43.34
KY-129,Lee County,Kentucky,46.45,-0.23,60,46.68
KY-131,Leslie County,Kentucky,49.11,0.15,65,48.96
KY-133,Letcher County,Kentucky,46.1,-0.61,59,46.71
KY-135,Lewis County,Kentucky,44.91,1.4,71,43.51
KY-137,Lincoln County,Kentucky,49.67,1.06,71,48.61
KY-139,Livingston County,Kentucky,47.39,-0.03,66,47.42
KY-141,Logan County,Kentucky,52.7,4.21,90,48.49
KY-143,Lyon County,Kentucky,47.1,-1.05,57,48.15
KY-145,McCracken County,Kentucky,49.02,1.55,78,47.47
KY-147,McCreary County,Kentucky,52.97,2.38,75,50.59
KY-149,McLean County,Kentucky,46.32,1.26,75,45.06
KY-151,Madison County,Kentucky,47.65,1.68,70,45.97
KY-153,Magoffin County,Kentucky,41.1,-3.45,39,44.55
KY-155,Marion County,Kentucky,47.25,-1.29,50,48.54
KY-157,Marshall County,Kentucky,46.77,-1.47,55,48.24
KY-159,Martin County,Kentucky,42.43,-2.7,38,45.13
KY-161,Mason County,Kentucky,45.32,1.21,64,44.11
KY-163,Meade County,Kentucky,47.69,2.05,75,45.64
KY-165,Menifee County,Kentucky,47.01,0.56,62,46.45
KY-167,Mercer County,Kentucky,48.9,2.4,76,46.5
KY-169,Metcalfe County,Kentucky,49.05,-1.21,53,50.26
KY-171,Monroe County,Kentucky,53.74,1.86,76,51.88
KY-173,Montgomery County,Kentucky,47.87,1.14,74,46.73
KY-175,Morgan County,Kentucky,42.46,-2.24,43,44.7
KY-177,Muhlenberg County,Kentucky,49.91,3.16,88,46.75
KY-179,Nelson County,Kentucky,48.16,1.09,66,47.07
KY-181,Nicholas County,Kentucky,45.28,0.33,55,44.95
KY-183,Ohio County,Kentucky,50.34,3.89,88,46.45
KY-185,Oldham County,Kentucky,47.29,2.7,77,44.59
KY-187,Owen County,Kentucky,45.18,1.48,64,43.7
KY-189,Owsley County,Kentucky,47.35,0.04,63,47.31
KY-191,Pendleton County,Kentucky,44.46,1.18,72,43.28
KY-193,Perry County,Kentucky,46.37,-1.03,56,47.4
KY-195,Pike County,Kentucky,44.41,0.03,69,44.38
KY-197,Powell County,Kentucky,47.88,1.32,67,46.56
KY-199,Pulaski County,Kentucky,52.15,2.26,76,49.89
KY-201,Robertson County,Kentucky,44.72,0.59,60,44.13
KY-203,Rockcastle County,Kentucky,50.31,0.97,70,49.34
KY-205,Rowan County,Kentucky,45.34,0.33,55,45.01
KY-207,Russell County,Kentucky,52.33,1.45,70,50.88
KY-209,Scott County,Kentucky,46.58,2.52,75,44.06
KY-211,Shelby County,Kentucky,47.55,1.98,73,45.57
KY-213,Simpson County,Kentucky,53.14,4.16,89,48.98
KY-215,Spencer County,Kentucky,48.17,1.53,71,46.64
KY-217,Taylor County,Kentucky,45.65,-3.86,37,49.51
KY-219,Todd County,Kentucky,47.74,-0.65,61,48.39
KY-221,Trigg County,Kentucky,46.1,-2.7,43,48.8
KY-223,Trimble County,Kentucky,44.34,0.93,61,43.41
KY-225,Union County,Kentucky,41.03,-3.88,36,44.91
KY-227,Warren County,Kentucky,54.12,4.99,93,49.13
KY-229,Washington County,Kentucky,49.22,1.81,71,47.41
KY-231,Wayne County,Kentucky,52.92,2.09,72,50.83
KY-233,Webster County,Kentucky,44.8,-0.54,62,45.34
KY-235,Whitley County,Kentucky,53.88,3.65,86,50.23
KY-237,Wolfe County,Kentucky,44.2,-1.78,50,45.98
KY-239,Woodford County,Kentucky,48.3,3.15,79,45.15
LA-001,Acadia Parish,Louisiana,62.92,4.57,83,58.35
LA-003,Allen Parish,Louisiana,61.88,3.05,79,58.83
LA-005,Ascension Parish,Louisiana,71.99,11.51,114,60.48
LA-007,Assumption Parish,Louisiana,74.63,13.47,116,61.16
LA-009,Avoyelles Parish,Louisiana,62.79,5.31,90,57.49
LA-011,Beauregard Parish,Louisiana,64.82,7.88,100,56.94
LA-013,Bienville Parish,Louisiana,65.11,11.97,110,53.14
LA-015,Bossier Parish,Louisiana,62.63,13.06,114,49.57
LA-017,Caddo Parish,Louisiana,63.97,15.66,119,48.31
LA-019,Calcasieu Parish,Louisiana,63,5.56,85,57.44
LA-021,Caldwell Parish,Louisiana,61.49,7.02,96,54.47
LA-023,Cameron Parish,Louisiana,63.51,6.69,92,56.82
LA-025,Catahoula Parish,Louisiana,62.7,7.04,96,55.66
LA-027,Claiborne Parish,Louisiana,62.07,9.84,106,52.23
LA-029,Concordia Parish,Louisiana,59.94,3.72,82,56.22
LA-031,De Soto Parish,Louisiana,67.95,18.03,122,49.92
LA-033,East Baton Rouge Parish,Louisiana,64.96,4.65,83,60.31
LA-035,East Carroll Parish,Louisiana,58.53,5.33,92,53.21
LA-037,East Feliciana Parish,Louisiana,61.14,-0.54,60,61.68
LA-039,Evangeline Parish,Louisiana,58.43,-0.45,62,58.88
LA-041,Franklin Parish,Louisiana,58.12,4.14,87,53.98
LA-043,Grant Parish,Louisiana,69.49,13.84,111,55.65
LA-045,Iberia Parish,Louisiana,64.06,5.51,90,58.55
LA-047,Iberville Parish,Louisiana,65.21,5.96,88,59.25
LA-049,Jackson Parish,Louisiana,66.32,12.03,110,54.29
LA-051,Jefferson Parish,Louisiana,94.38,32.97,127,61.41
LA-053,Jefferson Davis Parish,Louisiana,62.31,3.76,75,58.55
LA-055,Lafayette Parish,Louisiana,64.52,5.81,85,58.71
LA-057,Lafourche Parish,Louisiana,81.98,20.17,122,61.81
LA-059,La Salle Parish,Louisiana,67.88,11.68,110,56.2
LA-061,Lincoln Parish,Louisiana,67.58,14.53,114,53.05
LA-063,Livingston Parish,Louisiana,70.48,8.71,102,61.77
