the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng,icon
0101000020E61000004A314EEFB8C452C07D09938189054440,0101000020110F0000CFA623F34DE15FC1AF14FDA109965241,951,1402159,Nw Unruh/Castor,no,40.04325885,-75.07378752,trash
0101000020E61000005A506345C1C452C0387FD19A73054440,0101000020110F00009AD8171C5CE15FC18E70F655F1955241,952,1402160,Mid block between Magee/Unruh (99 cent store),no,40.04259048,-75.07429633,trash
0101000020E61000007626F3B7F4C452C0C30627700E054440,0101000020110F000067289E7FB3E15FC15742471B81955241,953,1402161,Nw Levick/Castor,no,40.03950312,-75.07743644,trash
0101000020E6100000AFE385380DC952C0B528FCC4F7064440,0101000020110F00007C812D7CA8E85FC18A2754FE9F975241,954,1402162,Nw 66th/Broad/at Dunkin Donuts,no,40.05443632,-75.14143193,trash
0101000020E610000085E50E5362CB52C0D3CE432B42F64340,0101000020110F00009A1DC8B99EEC5FC19073BC3D1A855241,955,1402163,Se 19th/Passyunk,no,39.92389432,-75.17787625,trash
0101000020E6100000F7E41A6FE0C452C0033248E337054440,0101000020110F000022670C0B91E15FC105CC9316AF955241,956,1402164,Nw Hellerman/Castor,no,40.04076806,-75.07619836,trash
0101000020E6100000B982A8B47ECB52C0613963DE39F64340,0101000020110F0000077022EFCEEC5FC108D98B0C11855241,957,1402165,Se 20th/Passyunk,yes,39.92364101,-75.1796085,trash
0101000020E6100000887B279FC8CB52C067A716051DF64340,0101000020110F000081E9E57C4CED5FC11098C819F1845241,958,1402166,Se 23rd/Passyunk,yes,39.92276062,-75.18411998,trash
0101000020E6100000C4BD32D964CB52C082FB4BFD44F64340,0101000020110F00006EC75003A3EC5FC19BBB595D1D855241,959,1402167,Nw 19th/Passyunk,no,39.92398039,-75.1780303,trash
0101000020E6100000EAC7D64F72CA52C033A5F2664EFA4340,0101000020110F00005C7B4A0A07EB5FC149D5071596895241,960,1402168,Nw Broad St. / Cherry St.(Penn Academy Of Arts),no,39.95551764,-75.16322704,trash
0101000020E61000009B8166A6DBCB52C0EF03F33B18F64340,0101000020110F0000822E33CF6CED5FC14C1807CDEB845241,961,1402169,Nw 23rd/Passyunk,yes,39.92261457,-75.18528137,trash
0101000020E6100000DDBE2F7210C952C0BDDB7C0FDA064440,0101000020110F0000F179A6F6ADE85FC1A9BB91077F975241,962,1402170,Sw 66th/Broad,yes,40.05352968,-75.14162879,trash
0101000020E6100000173F269CF8CB52C02F50ADD411F64340,0101000020110F000066D832009EED5FC10D2DA7B5E4845241,963,1402171,Se 24th/Passyunk,yes,39.92241915,-75.18704895,trash
0101000020E610000042DF44E924C952C02FAC568C17064440,0101000020110F0000EA58C2B9D0E85FC196819C37A7965241,964,1402172,Nw Broad/Stenton,no,40.04759363,-75.14287788,trash
0101000020E6100000619C631476CA52C0885C82FF26FA4340,0101000020110F00003B27AD700DEB5FC12FF0A26C6A895241,965,2504330,SW corner of Arch st and N Broad st,yes,39.95431513,-75.16345701,trash
0101000020E6100000B572E0D83CCD52C053BC2C44FBF74340,0101000020110F000072A614C0C4EF5FC19BD43BC802875241,966,8850093,4910 Botanic Ave. (Unknown Station),no,39.93735554,-75.20683882,trash
0101000020E6100000B572E0D83CCD52C053BC2C44FBF74340,0101000020110F000072A614C0C4EF5FC19BD43BC802875241,967,8850104,4910 Botanic Ave. (Unknown Station),no,39.93735554,-75.20683882,trash
